ac,track,tier,species,fold,f1,prauc,recall,precision
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,5,0.29213,0.32041,0.22807,0.40625
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,6,0.29474,0.36572,0.24561,0.36842
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,7,0.26506,0.28376,0.19298,0.42308
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,8,0.1791,0.37577,0.12,0.35294
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,9,0.25,0.29358,0.2,0.33333
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,10,0.25926,0.31226,0.19444,0.38889
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,11,0.22222,0.29328,0.16393,0.34483
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,12,0.33333,0.30164,0.28571,0.4
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,13,0.39583,0.35381,0.35849,0.44186
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,14,0.38554,0.30599,0.35556,0.42105
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,15,0.31304,0.3364,0.26471,0.38298
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,16,0.31707,0.30763,0.2549,0.41935
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,17,0.30612,0.27865,0.28302,0.33333
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,18,0.30612,0.29564,0.27273,0.34884
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,19,0.30189,0.31207,0.24615,0.39024
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,20,0.34783,0.37872,0.2963,0.42105
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,21,0.21978,0.25163,0.19231,0.25641
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,22,0.32941,0.32811,0.30435,0.35897
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,23,0.30588,0.25521,0.26,0.37143
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,24,0.35,0.32255,0.31818,0.38889
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,25,0.27368,0.29105,0.23214,0.33333
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,26,0.26263,0.36556,0.19403,0.40625
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,27,0.35052,0.33367,0.27419,0.48571
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,28,0.3125,0.35016,0.2459,0.42857
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,29,0.35294,0.34766,0.29032,0.45
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,30,0.28283,0.45048,0.2,0.48276
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,31,0.25287,0.27761,0.21154,0.31429
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,32,0.29474,0.34421,0.22581,0.42424
