blocking,ac,track,tier,species,threshold,n_positive,n_spatial_groups,cv_f1_mean,cv_f1_median,cv_f1_std,cv_prauc_mean,cv_prauc_median,cv_prauc_std
quadtree_adaptive,ACOLITE,ACOLITE_only,warning,Alexandrium_catenella,100,1696,401,0.43929,0.47592,0.17245,0.53231,0.54672,0.10881
quadtree_adaptive,ACOLITE,ACOLITE_roms,warning,Alexandrium_catenella,100,1696,401,0.48556,0.54372,0.19751,0.61748,0.62975,0.14512
quadtree_adaptive,ACOLITE,ACOLITE_only,warning,Dinophysis_acuminata,200,3887,401,0.55861,0.45582,0.22422,0.56911,0.45255,0.22237
quadtree_adaptive,ACOLITE,ACOLITE_roms,warning,Dinophysis_acuminata,200,3887,401,0.5621,0.49285,0.21213,0.60374,0.50317,0.18923
quadtree_adaptive,ACOLITE,ACOLITE_only,warning,Dinophysis_norvegica,200,1275,401,0.03814,0.03018,0.04315,0.15784,0.12086,0.1131
quadtree_adaptive,ACOLITE,ACOLITE_roms,warning,Dinophysis_norvegica,200,1275,401,0.04859,0.05507,0.03649,0.17724,0.15429,0.11776
quadtree_adaptive,ACOLITE,ACOLITE_only,warning,Karenia,1000,2512,401,0.60419,0.65282,0.20542,0.72428,0.7584,0.18723
quadtree_adaptive,ACOLITE,ACOLITE_roms,warning,Karenia,1000,2512,401,0.59581,0.70513,0.25941,0.74424,0.821,0.19293
quadtree_adaptive,ACOLITE,ACOLITE_only,warning,Pseudo-nitzschia,2000,2120,401,0.4999,0.50994,0.12329,0.58753,0.61717,0.10686
quadtree_adaptive,ACOLITE,ACOLITE_roms,warning,Pseudo-nitzschia,2000,2120,401,0.57091,0.6287,0.13336,0.66747,0.67556,0.11257
quadtree_adaptive,Baseline,Baseline_only,warning,Alexandrium_catenella,100,1696,401,0.41101,0.44733,0.17181,0.52731,0.54452,0.11044
quadtree_adaptive,Baseline,Baseline_roms,warning,Alexandrium_catenella,100,1696,401,0.47094,0.52079,0.19491,0.60192,0.63288,0.14976
quadtree_adaptive,Baseline,Baseline_only,warning,Dinophysis_acuminata,200,3887,401,0.54646,0.46892,0.21596,0.55795,0.42685,0.23529
quadtree_adaptive,Baseline,Baseline_roms,warning,Dinophysis_acuminata,200,3887,401,0.5495,0.51138,0.21132,0.59037,0.4909,0.20415
quadtree_adaptive,Baseline,Baseline_only,warning,Dinophysis_norvegica,200,1275,401,0.03577,0.02955,0.03635,0.16197,0.13121,0.11535
quadtree_adaptive,Baseline,Baseline_roms,warning,Dinophysis_norvegica,200,1275,401,0.05608,0.03779,0.06387,0.19161,0.15859,0.11878
quadtree_adaptive,Baseline,Baseline_only,warning,Karenia,1000,2512,401,0.56022,0.6092,0.21667,0.67076,0.72666,0.22862
quadtree_adaptive,Baseline,Baseline_roms,warning,Karenia,1000,2512,401,0.59504,0.69351,0.26874,0.74094,0.78991,0.19777
quadtree_adaptive,Baseline,Baseline_only,warning,Pseudo-nitzschia,2000,2120,401,0.46033,0.45626,0.08357,0.54625,0.56771,0.11367
quadtree_adaptive,Baseline,Baseline_roms,warning,Pseudo-nitzschia,2000,2120,401,0.57253,0.58267,0.10472,0.66692,0.67825,0.09965
quadtree_adaptive,C2RCC,C2RCC_only,warning,Alexandrium_catenella,100,1696,401,0.34504,0.37949,0.12026,0.43489,0.44916,0.09624
quadtree_adaptive,C2RCC,C2RCC_roms,warning,Alexandrium_catenella,100,1696,401,0.47526,0.53043,0.1931,0.58109,0.58816,0.13206
quadtree_adaptive,C2RCC,C2RCC_only,warning,Dinophysis_acuminata,200,3887,401,0.50685,0.47731,0.21607,0.53522,0.43387,0.23314
quadtree_adaptive,C2RCC,C2RCC_roms,warning,Dinophysis_acuminata,200,3887,401,0.53258,0.47968,0.18967,0.58172,0.48411,0.19827
quadtree_adaptive,C2RCC,C2RCC_only,warning,Dinophysis_norvegica,200,1275,401,0.04521,0.02982,0.05111,0.14144,0.10882,0.11561
quadtree_adaptive,C2RCC,C2RCC_roms,warning,Dinophysis_norvegica,200,1275,401,0.05742,0.04111,0.04106,0.17941,0.15663,0.1174
quadtree_adaptive,C2RCC,C2RCC_only,warning,Karenia,1000,2512,401,0.57075,0.5918,0.18812,0.68656,0.71681,0.19351
quadtree_adaptive,C2RCC,C2RCC_roms,warning,Karenia,1000,2512,401,0.58709,0.703,0.24715,0.73203,0.78319,0.19443
quadtree_adaptive,C2RCC,C2RCC_only,warning,Pseudo-nitzschia,2000,2120,401,0.45143,0.48597,0.12547,0.51607,0.58188,0.12913
quadtree_adaptive,C2RCC,C2RCC_roms,warning,Pseudo-nitzschia,2000,2120,401,0.57378,0.58987,0.11745,0.65683,0.66301,0.10975
quadtree_random,ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,300,1294,66,0.38539,0.40408,0.21805,0.50527,0.42353,0.17803
quadtree_random,ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,300,1294,66,0.3555,0.27636,0.25917,0.60763,0.58335,0.22124
