blocking,ac,track,tier,species,fold,n_positive,f1,prauc
clustering,Baseline,Baseline_roms,closure,Dinophysis_norvegica,5,7,0.0,0.00971
clustering,Baseline,Baseline_roms,closure,Dinophysis_norvegica,6,4,0.0,0.01875
clustering,Baseline,Baseline_roms,closure,Dinophysis_norvegica,7,6,0.0,0.0359
clustering,Baseline,Baseline_roms,closure,Dinophysis_norvegica,8,7,0.0,0.11557
clustering,Baseline,Baseline_roms,closure,Dinophysis_norvegica,9,4,0.0,0.01169
clustering,Baseline,Baseline_only,closure,Karenia,0,27,0.10127,0.10514
clustering,Baseline,Baseline_only,closure,Karenia,1,21,0.23529,0.18326
clustering,Baseline,Baseline_only,closure,Karenia,2,26,0.22222,0.34337
clustering,Baseline,Baseline_only,closure,Karenia,3,827,0.0,0.64496
clustering,Baseline,Baseline_only,closure,Karenia,4,52,0.6,0.71839
clustering,Baseline,Baseline_only,closure,Karenia,5,51,0.5641,0.78406
clustering,Baseline,Baseline_only,closure,Karenia,6,47,0.56338,0.68419
clustering,Baseline,Baseline_only,closure,Karenia,7,53,0.56098,0.6655
clustering,Baseline,Baseline_only,closure,Karenia,8,48,0.66667,0.85507
clustering,Baseline,Baseline_only,closure,Karenia,9,60,0.2963,0.51429
clustering,Baseline,Baseline_roms,closure,Karenia,0,27,0.12308,0.31676
clustering,Baseline,Baseline_roms,closure,Karenia,1,21,0.08696,0.25201
clustering,Baseline,Baseline_roms,closure,Karenia,2,26,0.14407,0.36835
clustering,Baseline,Baseline_roms,closure,Karenia,3,827,0.08295,0.63891
clustering,Baseline,Baseline_roms,closure,Karenia,4,52,0.70833,0.8363
clustering,Baseline,Baseline_roms,closure,Karenia,5,51,0.61728,0.81276
clustering,Baseline,Baseline_roms,closure,Karenia,6,47,0.69231,0.76561
clustering,Baseline,Baseline_roms,closure,Karenia,7,53,0.69231,0.73532
clustering,Baseline,Baseline_roms,closure,Karenia,8,48,0.69767,0.74854
clustering,Baseline,Baseline_roms,closure,Karenia,9,60,0.32558,0.62853
clustering,Baseline,Baseline_only,closure,Pseudo-nitzschia,0,20,0.58824,0.51797
clustering,Baseline,Baseline_only,closure,Pseudo-nitzschia,1,133,0.0,0.09047
clustering,Baseline,Baseline_only,closure,Pseudo-nitzschia,2,22,0.22222,0.30165
clustering,Baseline,Baseline_only,closure,Pseudo-nitzschia,3,22,0.34483,0.40136
clustering,Baseline,Baseline_only,closure,Pseudo-nitzschia,4,26,0.06452,0.11464
clustering,Baseline,Baseline_only,closure,Pseudo-nitzschia,5,58,0.12903,0.17132
clustering,Baseline,Baseline_only,closure,Pseudo-nitzschia,6,27,0.34286,0.42418
clustering,Baseline,Baseline_only,closure,Pseudo-nitzschia,7,28,0.4,0.41982
clustering,Baseline,Baseline_only,closure,Pseudo-nitzschia,8,21,0.48485,0.60864
clustering,Baseline,Baseline_only,closure,Pseudo-nitzschia,9,24,0.25,0.38042
clustering,Baseline,Baseline_roms,closure,Pseudo-nitzschia,0,20,0.62857,0.70028
clustering,Baseline,Baseline_roms,closure,Pseudo-nitzschia,1,133,0.0,0.09655
clustering,Baseline,Baseline_roms,closure,Pseudo-nitzschia,2,22,0.5,0.5315
clustering,Baseline,Baseline_roms,closure,Pseudo-nitzschia,3,22,0.22222,0.46196
clustering,Baseline,Baseline_roms,closure,Pseudo-nitzschia,4,26,0.13333,0.35919
clustering,Baseline,Baseline_roms,closure,Pseudo-nitzschia,5,58,0.1875,0.25918
clustering,Baseline,Baseline_roms,closure,Pseudo-nitzschia,6,27,0.41176,0.65117
clustering,Baseline,Baseline_roms,closure,Pseudo-nitzschia,7,28,0.42857,0.5334
clustering,Baseline,Baseline_roms,closure,Pseudo-nitzschia,8,21,0.55556,0.64298
clustering,Baseline,Baseline_roms,closure,Pseudo-nitzschia,9,24,0.36364,0.50728
clustering,C2RCC,C2RCC_only,closure,Alexandrium_catenella,0,58,0.57143,0.71207
clustering,C2RCC,C2RCC_only,closure,Alexandrium_catenella,1,637,0.03957,0.4291
clustering,C2RCC,C2RCC_only,closure,Alexandrium_catenella,2,56,0.24286,0.16342
clustering,C2RCC,C2RCC_only,closure,Alexandrium_catenella,3,57,0.52273,0.45905
clustering,C2RCC,C2RCC_only,closure,Alexandrium_catenella,4,85,0.32335,0.34198
clustering,C2RCC,C2RCC_only,closure,Alexandrium_catenella,5,153,0.16471,0.21485
clustering,C2RCC,C2RCC_only,closure,Alexandrium_catenella,6,65,0.45545,0.52293
clustering,C2RCC,C2RCC_only,closure,Alexandrium_catenella,7,67,0.47059,0.50612
