ac,track,species,fold,r2,rmse,mae
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,47,0.55658,6495.54849,710.46594
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,48,0.59435,2123.84695,508.77153
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,49,0.56709,1352.96267,401.33923
ACOLITE,ACOLITE_only,Dinophysis_norvegica,0,0.33143,189.07124,113.17019
ACOLITE,ACOLITE_only,Dinophysis_norvegica,1,0.39619,210.14762,129.00076
ACOLITE,ACOLITE_only,Dinophysis_norvegica,2,0.29449,191.17196,115.65316
ACOLITE,ACOLITE_only,Dinophysis_norvegica,3,0.36125,194.02956,125.72626
ACOLITE,ACOLITE_only,Dinophysis_norvegica,4,0.38861,172.69471,115.91574
ACOLITE,ACOLITE_only,Dinophysis_norvegica,5,0.29603,220.36633,134.68435
ACOLITE,ACOLITE_only,Dinophysis_norvegica,6,0.36835,217.93504,131.96376
ACOLITE,ACOLITE_only,Dinophysis_norvegica,7,0.27639,207.07177,130.80456
ACOLITE,ACOLITE_only,Dinophysis_norvegica,8,0.34536,180.92466,119.51072
ACOLITE,ACOLITE_only,Dinophysis_norvegica,9,0.41917,169.3892,110.78951
ACOLITE,ACOLITE_only,Dinophysis_norvegica,10,0.30713,152.45849,107.89461
ACOLITE,ACOLITE_only,Dinophysis_norvegica,11,0.34655,182.75914,123.77296
ACOLITE,ACOLITE_only,Dinophysis_norvegica,12,0.38494,185.14091,121.66714
ACOLITE,ACOLITE_only,Dinophysis_norvegica,13,0.38445,223.60528,136.00476
ACOLITE,ACOLITE_only,Dinophysis_norvegica,14,0.32522,198.78378,126.49086
ACOLITE,ACOLITE_only,Dinophysis_norvegica,15,0.26102,229.76921,136.89391
ACOLITE,ACOLITE_only,Dinophysis_norvegica,16,0.35826,190.27368,122.81444
ACOLITE,ACOLITE_only,Dinophysis_norvegica,17,0.36168,192.29675,127.04189
ACOLITE,ACOLITE_only,Dinophysis_norvegica,18,0.34272,189.48663,122.12691
ACOLITE,ACOLITE_only,Dinophysis_norvegica,19,0.42387,187.24202,124.72219
ACOLITE,ACOLITE_only,Dinophysis_norvegica,20,0.45358,165.94264,113.50306
ACOLITE,ACOLITE_only,Dinophysis_norvegica,21,0.3217,203.22828,130.12874
ACOLITE,ACOLITE_only,Dinophysis_norvegica,22,0.27034,195.79316,128.45736
ACOLITE,ACOLITE_only,Dinophysis_norvegica,23,0.38001,212.59311,128.93455
ACOLITE,ACOLITE_only,Dinophysis_norvegica,24,0.33358,238.65495,138.34922
ACOLITE,ACOLITE_only,Dinophysis_norvegica,25,0.24556,175.94282,116.91487
ACOLITE,ACOLITE_only,Dinophysis_norvegica,26,0.27298,167.75116,115.92903
ACOLITE,ACOLITE_only,Dinophysis_norvegica,27,0.36429,186.95805,120.46319
ACOLITE,ACOLITE_only,Dinophysis_norvegica,28,0.36022,151.65974,104.78991
ACOLITE,ACOLITE_only,Dinophysis_norvegica,29,0.3086,256.90435,153.93165
ACOLITE,ACOLITE_only,Dinophysis_norvegica,30,0.33364,190.96361,124.90314
ACOLITE,ACOLITE_only,Dinophysis_norvegica,31,0.3366,241.30785,145.9639
ACOLITE,ACOLITE_only,Dinophysis_norvegica,32,0.32711,213.6768,130.34247
ACOLITE,ACOLITE_only,Dinophysis_norvegica,33,0.32525,189.08868,123.57614
ACOLITE,ACOLITE_only,Dinophysis_norvegica,34,0.38202,171.00447,116.82294
ACOLITE,ACOLITE_only,Dinophysis_norvegica,35,0.27351,231.17173,144.19727
ACOLITE,ACOLITE_only,Dinophysis_norvegica,36,0.35692,193.20877,118.89314
ACOLITE,ACOLITE_only,Dinophysis_norvegica,37,0.35424,215.68597,128.54726
ACOLITE,ACOLITE_only,Dinophysis_norvegica,38,0.33678,186.51732,118.52692
ACOLITE,ACOLITE_only,Dinophysis_norvegica,39,0.42881,194.47908,119.69152
ACOLITE,ACOLITE_only,Dinophysis_norvegica,40,0.33544,157.3955,110.70567
ACOLITE,ACOLITE_only,Dinophysis_norvegica,41,0.31414,225.68829,139.42633
ACOLITE,ACOLITE_only,Dinophysis_norvegica,42,0.28349,169.38402,113.3321
ACOLITE,ACOLITE_only,Dinophysis_norvegica,43,0.32797,168.79843,117.01964
ACOLITE,ACOLITE_only,Dinophysis_norvegica,44,0.2854,208.69187,120.93156
ACOLITE,ACOLITE_only,Dinophysis_norvegica,45,0.36945,185.47743,120.53469
ACOLITE,ACOLITE_only,Dinophysis_norvegica,46,0.25755,193.99006,132.57714
ACOLITE,ACOLITE_only,Dinophysis_norvegica,47,0.34037,174.51704,112.88625
ACOLITE,ACOLITE_only,Dinophysis_norvegica,48,0.43151,171.09067,113.81683
ACOLITE,ACOLITE_only,Dinophysis_norvegica,49,0.28786,189.7153,128.63041
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,0,0.38971,176.31131,109.79615
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,1,0.38698,212.32243,129.36563
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,2,0.38359,175.80617,110.08084
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,3,0.41488,185.32253,122.63162
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,4,0.39453,175.95058,116.19516
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,5,0.35677,209.73224,129.20962
ACOLITE,ACOLITE_roms,Dinophysis_norvegica,6,0.41945,210.43862,128.67322
